,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,open_issue_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
20,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2026-03-27 14:03:05.465000,2026-03-27 10:24:43,6742.0,37.0,4057.0,146.0,3334.0,2666.0,26440.0,2026-03-19 15:41:55.000,9.7.6,441.0,330.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],1.0,,17566151.0,92528.0,83021.0,https://pypi.org/project/mkdocs-material,17553002.0,https://anaconda.org/conda-forge/mkdocs-material,2026-03-27 14:03:05.465,933603.0,1.0,2026-03-19 15:41:55.000,9507.0,,,,,,,,,,,,,,,,,,
21,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2026-03-29 22:52:26.000000,2025-12-31 15:07:44,22399.0,,2394.0,168.0,6623.0,6181.0,7756.0,2025-12-31 15:09:25.000,9.1.0,241.0,907.0,42,False,,sphinx,conda-forge/sphinx,['sphinx'],1423.0,,71807454.0,516373.0,480316.0,https://pypi.org/project/sphinx,71609180.0,https://anaconda.org/conda-forge/sphinx,2026-01-01 12:53:05.325,14077458.0,1.0,2025-12-31 15:09:25.000,36057.0,,,,,,,,,,,,,,,,,,
22,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2026-04-02 14:30:44.000000,2026-04-02 14:30:44,17730.0,148.0,2104.0,178.0,5341.0,9869.0,7355.0,2026-03-31 16:06:45.000,26.3.0,110.0,489.0,41,False,,conda,conda-forge/conda,,524.0,43916.0,1010016.0,51844.0,51844.0,https://pypi.org/project/conda,6587.0,https://anaconda.org/conda-forge/conda,2026-02-27 11:37:35.679,71209956.0,1.0,,,,,,,,2.0,,,,,,,,,,,,
23,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-10-20 13:17:06.000000,2025-10-20 13:17:06,2118.0,,2602.0,226.0,1354.0,2000.0,21932.0,2024-08-30 12:24:05.000,1.6.1,62.0,262.0,40,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],144.0,,16040398.0,105427.0,98291.0,https://pypi.org/project/mkdocs,16025964.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,837179.0,1.0,2024-08-30 12:24:05.000,7136.0,,,,,,,,,,,,,,,,,,
24,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2026-03-23 14:15:52.000000,2026-03-23 14:15:50,2822.0,2.0,904.0,90.0,1316.0,2257.0,15109.0,2025-12-16 21:18:45.000,4.5.1,100.0,166.0,40,True,,pre-commit,conda-forge/pre-commit,,21.0,5399179.0,115476972.0,272428.0,272428.0,https://pypi.org/project/pre-commit,115276978.0,https://anaconda.org/conda-forge/pre-commit,2025-12-17 02:34:24.697,9237340.0,1.0,,,,,,,,,,,,,,,,,,,,
25,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33.000,2026-04-02 09:01:50.000000,2026-04-02 08:54:56,14638.0,670.0,769.0,135.0,535.0,2604.0,14687.0,2026-03-24 13:26:43.000,4.0.7,378.0,208.0,40,True,,nuitka,conda-forge/nuitka,,193.0,,1625352.0,3915.0,3714.0,https://pypi.org/project/nuitka,1584843.0,https://anaconda.org/conda-forge/nuitka,2026-03-19 05:55:16.020,2876164.0,1.0,2026-03-24 13:26:43.000,201.0,,,,,,,,,,,,,,,,,,
26,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2026-04-01 20:07:36.000000,2026-04-01 19:11:49,2586.0,124.0,659.0,96.0,1177.0,972.0,8000.0,2026-02-11 18:25:06.000,7.5.3,125.0,225.0,40,True,,pip-tools,conda-forge/pip-tools,,200.0,,26818618.0,40455.0,37530.0,https://pypi.org/project/pip-tools,26814352.0,https://anaconda.org/conda-forge/pip-tools,2026-02-12 02:27:03.925,302887.0,2.0,2026-02-11 18:25:06.000,2925.0,,,,,,,,,,,,,,,,,,
27,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2026-03-31 06:13:44.000000,2026-03-31 06:08:36,1312.0,52.0,176.0,34.0,988.0,337.0,1628.0,2025-11-10 16:08:54.000,1.3.0,73.0,77.0,40,True,,pytest-asyncio,conda-forge/pytest-asyncio,['pytest'],53.0,1855.0,157785743.0,218586.0,188235.0,https://pypi.org/project/pytest-asyncio,157742702.0,https://anaconda.org/conda-forge/pytest-asyncio,2025-11-10 17:56:23.183,3053384.0,1.0,2026-03-25 16:37:12.000,30351.0,,,,,,,,,,,,,,,,,,
28,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2026-03-29 17:53:04.000000,2026-03-18 20:14:11,8445.0,14.0,1763.0,128.0,2380.0,7235.0,15350.0,2026-01-08 01:30:41.000,1.1.408,492.0,140.0,39,True,,,,,220.0,6471.0,3952386.0,1589.0,1550.0,,,,,,2.0,,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2026-01-08 01:25:24.427,39.0,3952202.0,,,,,,,
29,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2026-03-26 18:14:38.000000,2026-02-11 12:58:01,1007.0,2.0,1122.0,149.0,1168.0,1451.0,14467.0,2026-01-30 15:09:24.000,1.58.0,127.0,51.0,39,True,,playwright,,,70.0,,49981499.0,56110.0,52368.0,https://pypi.org/project/playwright,49981499.0,,,,1.0,2026-01-30 15:09:24.000,3742.0,,,,,,,,,,,,,,,,,,
