,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
10,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-04-30 13:47:43.000000,2026-04-28 11:43:40,9593.0,304.0,1849.0,353.0,2190.0,4356.0,25080.0,2026-04-28 11:44:01.000,2026.6.1,118.0,542.0,46,True,,11.0,pipenv,conda-forge/pipenv,,,23098635.0,174285.0,174285.0,https://pypi.org/project/pipenv,23093990.0,https://anaconda.org/conda-forge/pipenv,2026-04-28 13:33:18.059,329831.0,1.0,,,,,,,,,,,,,,,,,,
11,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-04-28 15:17:33.000000,2026-04-28 15:17:31,6702.0,224.0,1450.0,223.0,899.0,1583.0,11155.0,,,51.0,232.0,46,True,,325.0,psutil,conda-forge/psutil,,,331638891.0,784176.0,784176.0,https://pypi.org/project/psutil,330757325.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,60828065.0,1.0,,,,,,,,,,,,,,,,,,
12,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-04-26 20:57:05.000000,2026-04-26 20:55:18,15969.0,195.0,3182.0,317.0,6157.0,6783.0,10183.0,,,80.0,878.0,46,True,,937.0,pip,conda-forge/pip,,,561018437.0,250581.0,250581.0,https://pypi.org/project/pip,558015025.0,https://anaconda.org/conda-forge/pip,2026-02-05 06:08:27.516,213242277.0,1.0,,,,,,,,,,,,,,,,,,
13,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-04-29 08:04:00.000000,2026-04-29 08:03:58,1151.0,102.0,1057.0,161.0,1669.0,1420.0,5033.0,2026-04-27 17:06:07.000,21.3.0,108.0,155.0,45,True,,2.0,virtualenv,conda-forge/virtualenv,,104.0,430663092.0,504012.0,504012.0,https://pypi.org/project/virtualenv,430348771.0,https://anaconda.org/conda-forge/virtualenv,2026-04-27 20:30:57.509,20745173.0,2.0,,,,,,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-04-26 22:26:50.000000,2026-04-26 22:26:50,9983.0,77.0,1919.0,223.0,2693.0,5345.0,12968.0,2026-04-22 21:00:44.000,6.20.0,80.0,492.0,44,True,,271.0,pyinstaller,conda-forge/pyinstaller,,753502.0,8818377.0,87967.0,87967.0,https://pypi.org/project/pyinstaller,8785320.0,https://anaconda.org/conda-forge/pyinstaller,2026-04-23 11:10:51.959,1768224.0,1.0,,,,,,,,,,,,,,,,,,
15,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2026-04-28 05:05:48.000000,2026-04-28 05:05:46,10013.0,87.0,1240.0,72.0,5031.0,4918.0,5675.0,2026-02-20 09:07:31.000,4.0.5,211.0,636.0,44,True,pylint-dev/pylint,1022.0,pylint,conda-forge/pylint,,729.0,47761522.0,502827.0,490531.0,https://pypi.org/project/pylint,47649873.0,https://anaconda.org/conda-forge/pylint,2026-02-20 20:25:17.290,7814668.0,1.0,2026-02-20 09:07:31.000,12296.0,,,,,,,,,,,,,,,,
16,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2026-04-29 12:24:45.000000,2026-04-29 12:20:43,15414.0,79.0,2508.0,471.0,859.0,4545.0,11608.0,2026-03-03 16:50:54.000,7.4.2,100.0,227.0,43,True,,247.0,robotframework,conda-forge/robotframework,,579.0,4716041.0,13995.0,13995.0,https://pypi.org/project/robotframework,4711639.0,https://anaconda.org/conda-forge/robotframework,2026-03-04 14:33:43.144,268283.0,1.0,,,,,,,,,,,,,,,,,,
17,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2026-04-30 11:36:34.000000,2026-04-28 18:05:48,17788.0,157.0,2155.0,178.0,5437.0,9917.0,7391.0,2026-04-10 19:43:53.000,26.3.2,112.0,491.0,43,True,,641.0,conda,conda-forge/conda,,46458.0,1027427.0,51939.0,51856.0,https://pypi.org/project/conda,6793.0,https://anaconda.org/conda-forge/conda,2026-04-29 10:28:21.574,72429655.0,1.0,2017-04-22 23:43:59.218,83.0,,,,,,,,,,,,,,,,
18,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2026-04-30 14:50:03.000000,2026-04-30 14:47:26,4603.0,154.0,621.0,43.0,1146.0,1253.0,6934.0,2026-02-28 10:07:58.000,8.0.1,100.0,337.0,43,True,,98.0,isort,conda-forge/isort,,,90499122.0,578394.0,578394.0,https://pypi.org/project/isort,90366810.0,https://anaconda.org/conda-forge/isort,2026-02-28 11:36:11.788,9129530.0,2.0,,,,,,,,,,,,,,,,,,
19,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2026-04-27 16:54:15.000000,2026-04-23 13:47:48,1187.0,222.0,549.0,37.0,1839.0,1888.0,3915.0,2026-04-14 13:44:11.000,4.53.0,284.0,347.0,43,True,,1.0,tox,conda-forge/tox,['pytest'],,42229768.0,148110.0,135031.0,https://pypi.org/project/tox,42204470.0,https://anaconda.org/conda-forge/tox,2026-04-09 20:12:41.009,1796225.0,1.0,2026-04-14 13:44:11.000,13079.0,,,,,,,,,,,,,,,,
